bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Steglitz-Zehlendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40085
Steglitz-Zehlendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40088
Steglitz-Zehlendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40090
Steglitz-Zehlendorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40093
Steglitz-Zehlendorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40096
Steglitz-Zehlendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40099
Steglitz-Zehlendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40100
Steglitz-Zehlendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40105
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40107
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40110
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40116
Charlottenburg-Wilmersdorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40117
Charlottenburg-Wilmersdorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40123
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40126
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40131
Charlottenburg-Wilmersdorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40132
Charlottenburg-Wilmersdorf,420,S-FZT - Sonderbaufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40134
Charlottenburg-Wilmersdorf,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40136
Charlottenburg-Wilmersdorf,350,S-FZT - Sonderbaufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40138
Charlottenburg-Wilmersdorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40141
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40142
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40144
Charlottenburg-Wilmersdorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40145
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40146
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40150
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40151
Charlottenburg-Wilmersdorf,450,G - Gewerbliche Baufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40152
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40153
Charlottenburg-Wilmersdorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40157
Charlottenburg-Wilmersdorf,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40160
Charlottenburg-Wilmersdorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40161
Charlottenburg-Wilmersdorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40162
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40168
Spandau,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40170
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40175
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40181
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40182
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40185
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40188
Spandau,40,SF-CA - Sonstige Flächen - Campingplatz,2026-01-01,,,,Beitragsfrei nach BauGB,,40190
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40191
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40193
Spandau,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40194
Spandau,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40195
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40196
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40198
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40204
Spandau,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40205
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40213
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40217
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40221
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40223
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40224
Spandau,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40225
Spandau,350,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40227
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40228
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40229
Spandau,350,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40230
Spandau,350,S-FZT - Sonderbaufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40231
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40233
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40234
Spandau,350,S-FZT - Sonderbaufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40235
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40237
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40239
Spandau,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40242
Spandau,350,W-EFH - Wohnbaufläche - Ein- und Zweifamilienhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40243
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40244
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40245
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40246
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40247
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40249
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40250
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40251
Spandau,3.8,LF-A - Flächen der Land-o. Forstwirtschaft - Acker,2026-01-01,,,,Beitragsfrei nach BauGB,,40252
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40253
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40254
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40259
Spandau,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40260
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40261
Spandau,800,G-GD - Gewerbliche Baufläche - Handel und dienstleistungsorientiertes Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,40262
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40263
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40264
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,40267
Spandau,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,40268
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40270
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40271
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40274
Spandau,280,S-FZT - Sonderbaufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40275
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40276
Spandau,500,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40277
Spandau,3,LF-GR - Flächen der Land-o. Forstwirtschaft - Grünland,2026-01-01,,,,Beitragsfrei nach BauGB,,40278
Spandau,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40279
Spandau,280,G-FZT - Gewerbliche Baufläche - Freizeit und Touristik,2026-01-01,,,,Beitragsfrei nach BauGB,,40280
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40282
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40283
Spandau,350,G - Gewerbliche Baufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40286
Spandau,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40287
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40290
Spandau,500,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40291
Spandau,3.8,LF-A - Flächen der Land-o. Forstwirtschaft - Acker,2026-01-01,,,,Beitragsfrei nach BauGB,,40296
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40297
Spandau,15,LF-EGA - Flächen der Land-o. Forstwirtschaft - Erwerbsgartenbaufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40298
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40303
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40304
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40305
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40306
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40307
Spandau,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40308
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40313
Spandau,250,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40314
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40321
Spandau,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40325
Spandau,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40327
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40330
Reinickendorf,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40331
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40333
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40334
Reinickendorf,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40335
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40338
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40339
Reinickendorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40344
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40347
Reinickendorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40348
Reinickendorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40352
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40355
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40357
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40365
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40366
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40369
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40370
Reinickendorf,3.8,LF-A - Flächen der Land-o. Forstwirtschaft - Acker,2026-01-01,,,,Beitragsfrei nach BauGB,,40371
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40372
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40374
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40375
Reinickendorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40376
Reinickendorf,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40378
Reinickendorf,250,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40380
Reinickendorf,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40383
Spandau,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40384
Reinickendorf,250,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40387
Reinickendorf,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40389
Reinickendorf,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40390
Reinickendorf,120,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40391
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40392
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40395
Reinickendorf,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40399
Reinickendorf,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40400
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40402
Reinickendorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40407
Reinickendorf,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40409
Reinickendorf,300,W-EFH - Wohnbaufläche - Ein- und Zweifamilienhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40415
Reinickendorf,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40416
Pankow,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40418
Pankow,80,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40430
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40433
Pankow,3.8,LF-A - Flächen der Land-o. Forstwirtschaft - Acker,2026-01-01,,,,Beitragsfrei nach BauGB,,40438
Pankow,0.6,LF-F - Flächen der Land-o. Forstwirtschaft - forstwirtschaftliche Fläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40442
Pankow,160,G - Gewerbliche Baufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40443
Pankow,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40450
Pankow,220,W-EFH - Wohnbaufläche - Ein- und Zweifamilienhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40451
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40453
Pankow,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40454
Pankow,220,W-EFH - Wohnbaufläche - Ein- und Zweifamilienhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40455
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40456
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40457
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40463
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40467
Pankow,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40471
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40473
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40474
Pankow,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40477
Pankow,40,S-WO - Sonderbaufläche - Wochenendhäuser,2026-01-01,,,,Beitragsfrei nach BauGB,,40478
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40479
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40480
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40482
Pankow,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40486
Pankow,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40489
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40490
Pankow,40,SF-SPO - Sonstige Flächen - Sportfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40491
Pankow,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40495
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40496
Pankow,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40497
Pankow,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40498
Pankow,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40500
Pankow,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40501
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40503
Lichtenberg,350,G - Gewerbliche Baufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40504
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40505
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40506
Lichtenberg,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40507
Lichtenberg,40,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40513
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40515
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40520
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40523
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40525
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40526
Lichtenberg,3.8,LF-A - Flächen der Land-o. Forstwirtschaft - Acker,2026-01-01,,,,Beitragsfrei nach BauGB,,40528
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40529
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40535
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40538
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40539
Lichtenberg,15,SF-FH - Sonstige Flächen - Friedhof,2026-01-01,,,,Beitragsfrei nach BauGB,,40545
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40548
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40551
Lichtenberg,360,G - Gewerbliche Baufläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40552
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40553
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40555
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40558
Lichtenberg,20,SF-SN - Sonstige Flächen - Sondernutzungsfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40559
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40564
Lichtenberg,15,SF-KGA - Sonstige Flächen - Kleingartenfläche,2026-01-01,,,,Beitragsfrei nach BauGB,,40566
