bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Tempelhof-Schöneberg,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1190
Tempelhof-Schöneberg,9000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1193
Treptow-Köpenick,500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1196
Charlottenburg-Wilmersdorf,1600,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1200
Treptow-Köpenick,500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1201
Neukölln,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1202
Treptow-Köpenick,660,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1204
Treptow-Köpenick,500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1206
Charlottenburg-Wilmersdorf,1600,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1208
Reinickendorf,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1210
Steglitz-Zehlendorf,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1213
Charlottenburg-Wilmersdorf,2700,M2 - Mischgebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1214
Treptow-Köpenick,580,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1215
Charlottenburg-Wilmersdorf,4500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1216
Treptow-Köpenick,1100,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1217
Steglitz-Zehlendorf,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1219
Charlottenburg-Wilmersdorf,1400,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1220
Charlottenburg-Wilmersdorf,900,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1221
Treptow-Köpenick,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1222
Treptow-Köpenick,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1223
Treptow-Köpenick,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1224
Marzahn-Hellersdorf,1000,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1225
Treptow-Köpenick,510,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1229
Charlottenburg-Wilmersdorf,9500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1232
Marzahn-Hellersdorf,1000,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1233
Pankow,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1234
Charlottenburg-Wilmersdorf,900,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1236
Lichtenberg,1100,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1237
Treptow-Köpenick,430,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1238
Spandau,800,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1239
Pankow,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1244
