place_id,name,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJwdFmVZlTqEcRmo2JYz4Fia0,DHL Packstation 606,4.2,52.5861418,13.3422716,DHL Packstation,"Wird von DHL selten angefahren/ entleert. Scheint hier in Reinickendorf üblich...Könnte  besser beleuchtet sein. In der dunklen Jahreszeit wirklich gruselig der Parkplatz hier.

Die Bilder sind übrigens von der Packstation 123 bei Rewe, ca 400 Meter weiter nördlich. Diese hier, nämlich die 606 befindet sich hinter Lidl. Hier gibt es auch keinen Briefmarkenautomat. Falls den einer hier vermutet wegen den falschen Bildern.",3,vor 4 Jahren,Mano W.
ChIJwdFmVZlTqEcRmo2JYz4Fia0,DHL Packstation 606,4.2,52.5861418,13.3422716,DHL Packstation,"Bei Einlieferung eines vorfrankierten Pakets wird die Quittung nicht mehr automatischj auf Wunschteaste ausgestellt. Man kann nur noch wählen, ob man keine Quittung wünscht oder deren Zusendung per E-Mail. Die Eingabetastur ist aber vollständig ""schräg justiert""...Es ist mir dreimal (!) nicht gelungen, meine E-Mail erfolgreich einzugeben. Da man das eingelegte Paket n i c h t  wieder heraus gegeben bekommt, muss man,  um den Vorgang abschließen zu können, auf Verzicht der Quittung drücken und erhält so keinen Nachweis der Absendung. Das halte ich für super schwach. Keiner wartet anscheinend die Eingabetastatur.
Sollte mein Paket nicht ankommen, muss ich wohl den Betreiber der Packstation in Haftung nehmen.",1,vor 6 Jahren,Konrad Werpuschinski
ChIJwdFmVZlTqEcRmo2JYz4Fia0,DHL Packstation 606,4.2,52.5861418,13.3422716,DHL Packstation,Jederzeit Pakete abgeben ...super Erfindung und einfache Handhabung .,5,vor einem Jahr,Patzy Die
ChIJwdFmVZlTqEcRmo2JYz4Fia0,DHL Packstation 606,4.2,52.5861418,13.3422716,DHL Packstation,"Pakete erhalten und versenden problemlos,Marke Zuhause mit der DHLapp ausgedruckt,als registrierter bei der Paketstation bekommt man einen Einlieferungs Beleg aufs Handy,man kann das Paket nachverfolgen und sieht ob es abgeholt wurde",5,vor 4 Jahren,Heinz Gerhardt
ChIJwdFmVZlTqEcRmo2JYz4Fia0,DHL Packstation 606,4.2,52.5861418,13.3422716,DHL Packstation,"Klappt immer.
Ist auch noch Schreibwaren Geschäft.",5,vor 10 Monaten,Detti 2.0
ChIJgc7Vp21SqEcRi588NFU0wX8,DHL Packstation 160,2.7,52.56695999999999,13.41112,DHL Packstation,"DHL völlig unfähig: Diese Station, die 225 beim Penny und die 205 beim Rewe in Pankow waren nicht nutzbar. Florastraße ist der Bahnhof abgeschlossen gewesen (also nix 24/7 wie angegeben) und bei den anderen beiden stand ausser Betrieb auf dem Display. Leider ist DHL so unfassbar unfähig und hat nicht eine der 3 Stationen in der App als geschlossen abgezeigt – wofür hat man so eine App?! Da hilft auch keine Entschuldigung, das ist Unfähigkeit mit Vorsatz.",1,vor 7 Monaten,Markus Zentek
ChIJgc7Vp21SqEcRi588NFU0wX8,DHL Packstation 160,2.7,52.56695999999999,13.41112,DHL Packstation,"Gut gelegene Packstation, die Sauberkeit ist jedoch aufgrund des Standortes unzureichend.",4,vor 5 Monaten,Viet D. Nguyen
ChIJgc7Vp21SqEcRi588NFU0wX8,DHL Packstation 160,2.7,52.56695999999999,13.41112,DHL Packstation,"Diese Packstation befindet sich im Ausgang des U-Bahnhofes zur Bushaltestelle / Straßenbahnhaltestelle. Leider ist dieser Durchgang sehr zugig, ungemütlich und oft auch dreckig. Weiterhin ist die Packstation sehr gefragt und daher oft belegt. Es ist schon vorgekommen, dass Pakete dann an die nächste Postfiliale mit den entsprechend knappen öffnungszeiten weitergegeben worden sind. Das hat natürlich überhaupt nicht den Sinn der Packstation erfüllt.",3,vor 9 Jahren,Matthias Nebur
ChIJgc7Vp21SqEcRi588NFU0wX8,DHL Packstation 160,2.7,52.56695999999999,13.41112,DHL Packstation,"Könnte sauberer sein. Das Display ist manchmal verschmutzt/mit Flüssigkeiten verklebt, was es ziemlich eklig macht, ein Paket abzuholen.",2,vor 3 Jahren,Marcus Botwin
ChIJgc7Vp21SqEcRi588NFU0wX8,DHL Packstation 160,2.7,52.56695999999999,13.41112,DHL Packstation,Ich habe mich sehr schwer getan das Paket da raus zubekommen,3,vor 8 Jahren,Christiane Tarnowski
